Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
1,0.99,0.939825,-0.0001665151,0.054516356,0.05434984,1.0,0.0,0.4307118862867355,0.0,368.56773495674133,3.4933982,0.00552564,120000,0.99583334,0.0,120000.0,0.61585236,0.6932762,0.5,0.9801035,0.9375633,-2.729516,-2.6812649,0.0011640503,-0.009437109,-0.69314724,49.92859,20000.0,-2.729516,-2.2898202,-2.26569,-2.2624042,-2.2947755,-2.2950199,-2.2898202,-2.7298481,0.12,240.0,-0.48522988
2,0.988,0.98335,-0.0012544892,0.11201657,0.1107621,1.0,0.0,0.5729772174358367,0.0,545.913660287857,3.472814,0.0054892153,140000,1.0,0.0,140000.0,0.61583096,0.6932471,0.5,0.98008496,0.94096875,-5.894389,-5.8346195,0.008208753,-0.03234082,-0.69314724,49.879642,40000.0,-5.894389,-5.507202,-5.456162,-5.449462,-5.514624,-5.515545,-5.507202,-5.894765,0.14,280.0,-0.48527598
3,0.98784,0.9812,-0.0029232355,0.18036205,0.17743881,1.0,0.0,0.09657643713057042,0.0,724.841801404953,3.5047874,0.0055324826,160000,1.0,0.0,160000.0,0.61578894,0.69320667,0.5,0.98011917,0.98312247,-8.658955,-8.617437,0.01772425,-0.039883398,-0.69314724,49.972977,60000.0,-8.658955,-8.332383,-8.232938,-8.222133,-8.3244,-8.327291,-8.332383,-8.659344,0.16,320.0,-0.48534003
4,0.98736,0.9852,-0.004588358,0.26173663,0.2571483,1.0,0.28,0.17388448100537063,0.28,903.8328909873962,3.4985223,0.005524279,180000,1.0,0.075,180000.0,0.6158117,0.6932303,0.5,0.98011506,1.0409302,-11.025795,-11.024271,0.024803797,-0.04528672,-0.69314724,49.95361,80000.0,-11.025795,-10.752261,-10.602557,-10.587605,-10.724264,-10.730642,-10.752261,-11.026156,0.18,360.0,-0.48530254
5,0.98644,0.9847,-0.005555228,0.38150698,0.3759518,1.0,0.28,0.3804738646745682,0.04,1082.2888877391815,3.505113,0.005537542,200000,1.0,0.05,200000.0,0.6158266,0.69324553,0.5,0.9800924,1.0752139,-13.279253,-13.350164,0.0224553,-0.048933007,-0.69314724,49.900677,100000.0,-13.279253,-13.053925,-12.829055,-12.809249,-12.982779,-12.994822,-13.053925,-13.279649,0.2,400.0,-0.48527852
6,0.988,0.97885,-0.004703972,0.55451566,0.5498117,1.0,0.28,0.7333984124660492,0.0,1259.5419352054596,3.4884439,0.005509492,220000,1.0,0.0,220000.0,0.6159122,0.6933367,0.5,0.9800724,1.0520295,-15.494147,-15.606703,0.011744936,-0.054202147,-0.69314724,49.841545,120000.0,-15.494147,-15.314111,-15.0047,-14.979653,-15.186805,-15.207759,-15.314111,-15.4945,0.22,440.0,-0.48513418
7,0.98696,0.9806,-0.0031683957,0.7350818,0.7319134,1.0,0.28,0.48108679950237276,0.0,1437.7059924602509,3.4968724,0.0055277096,240000,1.0,0.0,240000.0,0.6157997,0.6932203,0.5,0.9800799,1.0479395,-17.38721,-17.518984,0.0052661514,-0.056112695,-0.69314724,49.872593,140000.0,-17.38721,-17.245554,-16.884274,-16.85549,-17.08194,-17.110998,-17.245554,-17.387629,0.24,480.0,-0.48531836
8,0.98512,0.9701,-0.0014424842,0.9701999,0.96875745,1.0,0.28,0.33650234997272493,0.0,1615.2449746131897,3.4909542,0.005522156,260000,1.0,0.0,260000.0,0.6157841,0.69319755,0.5,0.98009104,1.0514119,-19.079393,-19.251421,-0.00486212,-0.05521211,-0.69314724,49.891895,160000.0,-19.079393,-18.972097,-18.546543,-18.51361,-18.760372,-18.79845,-18.972097,-19.079771,0.26,520.0,-0.4853543
9,0.98792,0.9807,0.0002770041,1.249037,1.2493141,1.0,0.28,0.5339866781234741,0.0,1792.2154295444489,3.4777884,0.005503688,280000,1.0,0.0,280000.0,0.6157881,0.6932043,0.5,0.98007274,1.0468944,-20.642569,-20.852777,-0.013663849,-0.056629494,-0.69314724,49.841995,180000.0,-20.642569,-20.566818,-20.077026,-20.04007,-20.30739,-20.353575,-20.566818,-20.642946,0.28,560.0,-0.48534355
10,0.98812,0.98095,0.0036345085,1.6029607,1.6065952,1.0,0.28,0.5926603624224662,0.0,1969.8040170669556,3.4917712,0.005524867,300000,1.0,0.0,300000.0,0.6155941,0.69300526,0.5,0.98008984,1.0380207,-22.183311,-22.434734,-0.028702514,-0.06008281,-0.69314724,49.89425,200000.0,-22.183311,-22.138477,-21.564718,-21.521938,-21.820229,-21.877588,-22.138477,-22.183712,0.3,600.0,-0.4856586
11,0.79752,0.9767,0.009983562,2.0934176,2.1034014,0.82,0.28,0.41265489161014557,0.0,2146.8306863307953,3.4780984,0.005504279,320000,1.0,0.0,320000.0,0.61558944,0.6930001,0.5,0.98011297,1.0463934,-23.866095,-24.212763,-0.057847884,-0.06534707,-0.69314724,49.950092,220000.0,-23.866095,-23.855595,-23.13233,-23.080366,-23.426218,-23.501404,-23.855595,-23.866453,0.32,640.0,-0.4856668
12,0.85792,0.9766,0.023202283,2.8889465,2.9121487,0.88,0.28,0.4996338713169098,0.0,2324.74000620842,3.4983058,0.0055375383,340000,1.0,0.0,340000.0,0.6156251,0.69303864,0.5,0.9801174,1.045139,-26.114357,-26.599628,-0.12071311,-0.073858395,-0.69314724,49.967144,240000.0,-26.114357,-26.150146,-25.18346,-25.117975,-25.524435,-25.627235,-26.150146,-26.114805,0.34,680.0,-0.48560566
13,0.98496,0.9809,0.040199913,4.0249443,4.0651445,1.0,0.28,0.23117979973554612,0.0,2503.739109992981,3.4970715,0.0055318163,360000,1.0,0.0,360000.0,0.6159729,0.69339734,0.5,0.9800627,1.01648,-28.751747,-29.345154,-0.19637603,-0.08758769,-0.69314724,49.82568,260000.0,-28.751747,-28.840324,-27.630985,-27.550869,-28.014833,-28.147747,-28.840324,-28.752218,0.36,720.0,-0.48503828
14,0.9876,0.9781,0.059433214,5.5817842,5.6412177,1.0,0.28,0.7585105609893799,0.0,2682.093615293503,3.5061874,0.0055464255,380000,1.0,0.0,380000.0,0.6156339,0.69304675,0.5,0.98010224,1.7074984,-31.475006,-32.19209,-0.2867327,-0.10392402,-0.69314724,49.92085,280000.0,-31.475006,-31.615362,-30.157272,-30.061487,-30.580793,-30.746597,-31.615362,-31.475685,0.38,760.0,-0.48559278
15,0.95228,0.9802,0.084501944,7.767359,7.85186,0.98,0.28,0.4752231138944626,0.0,2862.2022166252136,3.529922,0.0055827093,400000,1.0,0.0,400000.0,0.6156647,0.6930815,0.5,0.9801126,1.1134813,-34.489727,-35.342506,-0.39815417,-0.121463284,-0.69314724,49.95205,300000.0,-34.489727,-34.688385,-32.962982,-32.849052,-33.42206,-33.6283,-34.688385,-34.490486,0.4,800.0,-0.4855379
