Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
1,0.99,0.9404333,-0.00023512606,0.055545777,0.05531065,1.0,0.0,0.43226535618305206,0.0,396.17385745048523,4.499148,0.0075768917,120000,1.0,0.004166667,120000.0,0.61585236,0.6932762,0.5,0.9801035,0.92466074,-2.4340718,-2.376967,0.0013268219,-0.009151172,-0.69314724,49.92859,20000.0,-2.4340718,-1.9823414,-1.9535557,-1.9495559,-1.9888709,-1.9892123,-1.9823414,-2.434336,0.12,240.0,-0.48522988
2,0.98776,0.98235,-0.0016553781,0.110939816,0.10928444,1.0,0.2,0.2959393544495106,0.2,612.8169310092926,4.4668837,0.00752327,140000,1.0,0.0,140000.0,0.61583096,0.6932471,0.5,0.98008496,0.9418693,-5.6028447,-5.540127,0.010248925,-0.03179492,-0.69314724,49.879642,40000.0,-5.6028447,-5.197465,-5.13806,-5.130731,-5.201705,-5.202863,-5.197465,-5.6031766,0.14,280.0,-0.48527598
3,0.98784,0.98,-0.0035733527,0.20202915,0.1984558,1.0,0.2,0.3893959002196789,0.0,830.5820915699005,4.511405,0.007598014,160000,1.0,0.1,160000.0,0.61578894,0.69320667,0.5,0.98011917,0.98037815,-8.323536,-8.280146,0.021287289,-0.042943556,-0.69314724,49.972977,60000.0,-8.323536,-7.9831843,-7.8687563,-7.856251,-7.97354,-7.9774094,-7.9831843,-8.32391,0.16,320.0,-0.48534003
4,0.98548,0.98245,-0.0051157232,0.32668975,0.32157403,1.0,0.2,0.5497998219728469,0.0,1045.5768311023712,4.4571953,0.007511752,180000,1.0,0.15,180000.0,0.6158117,0.6932303,0.5,0.98011506,1.0585624,-10.733812,-10.770202,0.024103599,-0.049411915,-0.69314724,49.95361,80000.0,-10.733812,-10.450223,-10.2597685,-10.242123,-10.399669,-10.408992,-10.450223,-10.734189,0.18,360.0,-0.48530254
5,0.9712,0.98035,-0.0044844607,0.57236737,0.5678829,1.0,0.2,0.39367234155535696,0.02,1261.067880153656,4.472176,0.0075351526,200000,1.0,0.075,200000.0,0.6158266,0.69324553,0.5,0.9800924,1.1253006,-13.455245,-13.651522,-0.004446662,-0.054226562,-0.69314724,49.900677,100000.0,-13.455245,-13.231164,-12.856577,-12.828394,-13.054323,-13.080913,-13.231164,-13.455675,0.2,400.0,-0.48527852
6,0.98868,0.9844,0.005621415,0.9579215,0.963543,1.0,0.2,0.7797248244285584,0.0,1476.369018793106,4.4719744,0.007540535,220000,1.0,0.0,220000.0,0.6159122,0.6933367,0.5,0.9800724,1.0575293,-16.712288,-16.988918,-0.08683774,-0.06795078,-0.69314724,49.841545,120000.0,-16.712288,-16.550009,-15.880803,-15.834719,-16.15202,-16.216219,-16.550009,-16.71274,0.22,440.0,-0.48513418
7,0.9888,0.9856,0.01607948,1.368477,1.3845563,1.0,0.2,0.32091694086790085,0.0,1692.7066690921783,4.491849,0.0075697554,240000,1.0,0.0,240000.0,0.6157997,0.6932203,0.5,0.9800799,1.0020369,-19.082602,-19.304163,-0.09649289,-0.08061738,-0.69314724,49.872593,140000.0,-19.082602,-18.958061,-18.224506,-18.17236,-18.527676,-18.59999,-18.958061,-19.083141,0.24,480.0,-0.48531836
8,0.98788,0.98345,0.021028051,2.0146666,2.0356946,1.0,0.2,0.5349696868658066,0.0,1909.9982373714447,4.4966426,0.0075840103,260000,1.0,0.0,260000.0,0.6157841,0.69319755,0.5,0.98009104,1.0503613,-21.128277,-21.46243,-0.12608711,-0.085540235,-0.69314724,49.891895,160000.0,-21.128277,-21.038427,-20.172823,-20.111986,-20.50678,-20.596771,-21.038427,-21.128906,0.26,520.0,-0.4853543
9,0.98664,0.9824,0.038857102,2.9831097,3.0219667,1.0,0.2,0.5500042229890824,0.0,2126.5690944194794,4.4786453,0.0075559304,280000,1.0,0.0,280000.0,0.6157881,0.6932043,0.5,0.98007274,1.1416221,-23.572916,-24.03969,-0.20779577,-0.09451309,-0.69314724,49.841995,180000.0,-23.572916,-23.538563,-22.432993,-22.357225,-22.800175,-22.926,-23.538563,-23.573551,0.28,560.0,-0.48534355
10,0.98912,0.98295,0.058535248,4.092876,4.151411,1.0,0.2,0.6899603092670441,0.0,2344.5253269672394,4.5140347,0.0076199835,300000,1.0,0.0,300000.0,0.6155941,0.69300526,0.5,0.98008984,1.2810488,-26.35125,-26.959162,-0.29266068,-0.10035879,-0.69314724,49.89425,200000.0,-26.35125,-26.379156,-25.063032,-24.972887,-25.451197,-25.611574,-26.379156,-26.351894,0.3,600.0,-0.4856586
11,0.98516,0.9851,0.081629194,5.422966,5.5045953,1.0,0.2,0.5160825437307358,0.0,2563.4369163513184,4.5497384,0.0076835523,320000,1.0,0.0,320000.0,0.61558944,0.6930001,0.5,0.98011297,1.4170009,-29.423513,-30.139524,-0.38825023,-0.10907539,-0.69314724,49.950092,220000.0,-29.423513,-29.516863,-28.009819,-27.905197,-28.415173,-28.609482,-29.516863,-29.424244,0.32,640.0,-0.4856668
12,0.98684,0.98455,0.095878236,6.406874,6.5027523,1.0,0.2,0.6093431460857391,0.0,2782.4263882637024,4.550807,0.007687013,340000,1.0,0.0,340000.0,0.6156251,0.69303864,0.5,0.9801174,1.1035157,-32.064255,-32.835117,-0.44142497,-0.116731055,-0.69314724,49.967144,240000.0,-32.064255,-32.211716,-30.60514,-30.491291,-31.025213,-31.238163,-32.211716,-32.06509,0.34,680.0,-0.48560566
13,0.98616,0.981,0.10332896,6.813468,6.9167967,1.0,0.2,0.5542641741037369,0.0,2999.2186930179596,4.5048103,0.007612021,360000,1.0,0.0,360000.0,0.6159729,0.69339734,0.5,0.9800627,1.1093212,-33.97645,-34.710182,-0.43175894,-0.1325793,-0.69314724,49.82568,260000.0,-33.97645,-34.165386,-32.571205,-32.45248,-33.006706,-33.228416,-34.165386,-33.977306,0.36,720.0,-0.48503828
14,0.98836,0.98525,0.10054912,6.535263,6.6358123,1.0,0.2,0.5356226879358291,0.0,3217.7167427539825,4.544889,0.0076776273,380000,1.0,0.0,380000.0,0.6156339,0.69304675,0.5,0.98010224,1.1543913,-34.690643,-35.355762,-0.39375576,-0.1455963,-0.69314724,49.92085,280000.0,-34.690643,-34.896816,-33.405273,-33.288033,-33.844006,-34.06184,-34.896816,-34.691727,0.38,760.0,-0.48559278
15,0.98552,0.98675,0.090734154,5.866468,5.957202,1.0,0.2,0.5667307895421981,0.0,3435.7052121162415,4.5336432,0.0076546837,400000,1.0,0.0,400000.0,0.6156647,0.6930815,0.5,0.9801126,0.894196,-34.57706,-35.110954,-0.32120144,-0.15846524,-0.69314724,49.95205,300000.0,-34.57706,-34.78495,-33.472134,-33.362144,-33.897602,-34.10146,-34.78495,-34.577934,0.4,800.0,-0.4855379
