Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
13,0.8712,0.8765,-0.09117848,0.08040832,-0.010770157,1.0,0.24,0.483268558335455,0.04,212.00574016571045,0.30905557,0.005193605,36000,1.0,0.05,36000.0,0.58501524,0.66081053,0.6,0.8584249,0.5706234,-4.3515143,-3.8970826,0.15342335,-0.4045176,-0.51082563,6.1203475,26000.0,-4.3515143,-3.683315,-3.7077498,-3.6726992,-3.9080718,-3.9641933,-3.683315,-4.3518114,0.036,720.0,-0.53658986
14,0.886,0.886,-0.09575774,0.08280924,-0.012948496,1.0,0.24,1.89019579176463,0.02,227.16871643066406,0.3085367,0.0051903785,38000,1.0,0.0,38000.0,0.5852215,0.66102415,0.6,0.85837233,0.5581554,-4.552383,-4.0885243,0.16190784,-0.40748438,-0.51082563,6.1147776,28000.0,-4.552383,-3.8905852,-3.918266,-3.8807228,-4.12509,-4.188289,-3.8905852,-4.5526485,0.038,760.0,-0.53625196
15,0.8732,0.889,-0.099642426,0.0869101,-0.012732333,1.0,0.24,0.6133314133453454,0.06,242.20551896095276,0.30859733,0.005187404,40000,1.0,0.025,40000.0,0.5845472,0.6602809,0.6,0.8588384,0.53673464,-4.7536244,-4.2814283,0.16834958,-0.41077343,-0.51082563,6.1404295,30000.0,-4.7536244,-4.0947866,-4.1242275,-4.084617,-4.3351593,-4.404299,-4.0947866,-4.753913,0.04,800.0,-0.5374277
16,0.8736,0.8655,-0.100980006,0.08824729,-0.012732712,1.0,0.24,1.4236408711157884,0.02,257.68824434280396,0.30869374,0.005192764,42000,1.0,0.1,42000.0,0.58486146,0.6606464,0.6,0.8588114,0.5303148,-4.9250584,-4.4558234,0.172508,-0.4074707,-0.51082563,6.1373672,32000.0,-4.9250584,-4.2692823,-4.300684,-4.258735,-4.5151453,-4.5911627,-4.2692823,-4.9253945,0.042,840.0,-0.5368496
17,0.892,0.868,-0.10440297,0.090297475,-0.014105489,1.0,0.24,0.9212680538532504,0.0,272.9447500705719,0.30931443,0.0051986882,44000,1.0,0.05,44000.0,0.5848215,0.66060317,0.6,0.8585863,0.5053511,-5.1151114,-4.6469917,0.17721897,-0.4066953,-0.51082563,6.125383,34000.0,-5.1151114,-4.46725,-4.500535,-4.4568467,-4.716429,-4.797454,-4.46725,-5.1153855,0.044,880.0,-0.536918
18,0.8916,0.875,-0.10985024,0.093601376,-0.016248867,1.0,0.24,0.5492791245148989,0.04,288.46331667900085,0.3094069,0.005198043,46000,1.0,0.025,46000.0,0.58496153,0.6607365,0.6,0.85851145,0.47746557,-5.2774367,-4.8108816,0.18372884,-0.40984765,-0.51082563,6.1216583,36000.0,-5.2774367,-4.636989,-4.6721454,-4.6266465,-4.8885965,-4.974989,-4.636989,-5.277733,0.046,920.0,-0.53670704
19,0.8572,0.882,-0.1183042,0.0964617,-0.021842493,1.0,0.24,1.4912097758164002,0.06,303.73605704307556,0.30857167,0.0051957406,48000,1.0,0.025,48000.0,0.58520055,0.66100925,0.6,0.85808885,0.39512673,-5.446303,-4.9556894,0.19069837,-0.4312422,-0.51082563,6.0990586,38000.0,-5.446303,-4.801867,-4.839468,-4.791665,-5.056132,-5.1492805,-4.801867,-5.446593,0.048,960.0,-0.5362754
20,0.8696,0.8685,-0.1264496,0.10016486,-0.026284724,1.0,0.24,1.2349076849581935,0.04,319.32357907295227,0.30893746,0.0052011767,50000,1.0,0.125,50000.0,0.5845457,0.66029197,0.6,0.85890484,0.32767692,-5.6365957,-5.1173263,0.1980576,-0.44528514,-0.51082563,6.141553,40000.0,-5.6365957,-4.978007,-5.0186844,-4.9680743,-5.2352695,-5.336254,-4.978007,-5.6369367,0.05,1000.0,-0.53741014
21,0.8956,0.8785,-0.13018347,0.103409715,-0.026773762,1.0,0.24,0.6602504339063878,0.0,334.81260561943054,0.31060025,0.00521168,52000,1.0,0.125,52000.0,0.58545554,0.6612784,0.6,0.8581033,0.3161456,-5.75213,-5.2317724,0.20385486,-0.44964063,-0.51082563,6.103508,42000.0,-5.75213,-5.0831747,-5.126739,-5.073218,-5.3447843,-5.4532313,-5.0831747,-5.7523923,0.052,1040.0,-0.53584963
22,0.8924,0.878,-0.1349516,0.10620972,-0.02874189,1.0,0.24,0.36897627787191944,0.04,350.041216135025,0.31042132,0.0052221296,54000,1.0,0.05,54000.0,0.5848767,0.6606464,0.6,0.85860324,0.2675229,-5.932206,-5.3972178,0.21029653,-0.4551914,-0.51082563,6.125258,44000.0,-5.932206,-5.2577744,-5.3034444,-5.247333,-5.521848,-5.636766,-5.2577744,-5.932564,0.054,1080.0,-0.5368496
23,0.8964,0.8815,-0.13598995,0.10803642,-0.027953526,1.0,0.24,1.7484286862413803,0.02,365.3887641429901,0.31045595,0.0052215457,56000,1.0,0.125,56000.0,0.58524865,0.66105247,0.6,0.85839283,0.266013,-6.0741916,-5.545682,0.2143745,-0.45133594,-0.51082563,6.1158047,46000.0,-6.0741916,-5.398388,-5.4462943,-5.388005,-5.6653886,-5.7853174,-5.398388,-6.074414,0.056,1120.0,-0.536207
24,0.8856,0.8725,-0.14139359,0.1112685,-0.030125083,1.0,0.24,0.6568773945571558,0.06,380.77293944358826,0.31010032,0.0052226083,58000,1.0,0.05,58000.0,0.5850841,0.6608748,0.6,0.8582969,0.20297119,-6.2069345,-5.654811,0.22145881,-0.46239647,-0.51082563,6.111398,48000.0,-6.2069345,-5.5227656,-5.5738077,-5.5125537,-5.793565,-5.920193,-5.5227656,-6.2072325,0.058,1160.0,-0.5364883
25,0.8672,0.896,-0.14133738,0.11388707,-0.027450314,1.0,0.24,0.7424851532107261,0.06,395.84420108795166,0.31164604,0.005237372,60000,1.0,0.075,60000.0,0.58464485,0.66042286,0.6,0.8590296,0.21487601,-6.3712745,-5.8379316,0.22512844,-0.45284376,-0.51082563,6.145916,50000.0,-6.3712745,-5.6888533,-5.7421627,-5.6786346,-5.962423,-6.0937843,-5.6888533,-6.3715663,0.06,1200.0,-0.53720313
26,0.8876,0.881,-0.13863848,0.11764458,-0.020993892,1.0,0.24,0.840418653840866,0.16,411.2406532764435,0.31115776,0.0052455915,62000,1.0,0.15,62000.0,0.58499026,0.660776,0.6,0.8583497,0.23050377,-6.4959373,-5.988202,0.2254357,-0.4418789,-0.51082563,6.113338,52000.0,-6.4959373,-5.828847,-5.8834715,-5.818457,-6.1048985,-6.238997,-5.828847,-6.4962344,0.062,1240.0,-0.5366445
27,0.8916,0.903,-0.13474128,0.11701498,-0.017726282,1.0,0.24,1.5386806768298535,0.06,426.6494336128235,0.31273693,0.005264043,64000,1.0,0.025,64000.0,0.5853534,0.6611723,0.6,0.8583725,0.22256301,-6.6468525,-6.1575713,0.22256176,-0.4305918,-0.51082563,6.117508,54000.0,-6.6468525,-5.996039,-6.0514746,-5.9859114,-6.2735434,-6.4077168,-5.996039,-6.6471553,0.064,1280.0,-0.5360176
28,0.8828,0.89,-0.1303045,0.11906733,-0.01123717,1.0,0.24,1.040719755871162,0.0,441.9671721458435,0.3117131,0.005245913,66000,0.975,0.125,66000.0,0.5850465,0.66083276,0.6,0.85850435,0.2534918,-6.793324,-6.3387656,0.21841712,-0.41738868,-0.51082563,6.122209,56000.0,-6.793324,-6.163986,-6.219057,-6.1531186,-6.442681,-6.5764213,-6.163986,-6.793623,0.066,1320.0,-0.5365547
29,0.88,0.8705,-0.1301386,0.11982066,-0.010317929,1.0,0.24,0.3521625491333531,0.14,457.63031911849976,0.31120682,0.0052222777,68000,1.0,0.2,68000.0,0.58500713,0.6607956,0.6,0.8583862,0.27264822,-6.9649196,-6.524048,0.21947303,-0.41005468,-0.51082563,6.110336,58000.0,-6.9649196,-6.3557487,-6.411373,-6.345206,-6.63587,-6.7694745,-6.3557487,-6.9652567,0.068,1360.0,-0.5366133
30,0.892,0.882,-0.12537496,0.119432434,-0.005942523,1.0,0.24,0.6599865655867471,0.12,473.2272810935974,0.3098933,0.005226067,70000,1.0,0.05,70000.0,0.5846195,0.6603735,0.6,0.85858387,0.33841047,-7.1025763,-6.697921,0.21345498,-0.40038475,-0.51082563,6.12399,60000.0,-7.1025763,-6.514564,-6.56929,-6.503363,-6.7957625,-6.928269,-6.514564,-7.102839,0.07,1400.0,-0.5372813
31,0.8748,0.9015,-0.12221993,0.118388414,-0.0038315055,1.0,0.24,0.4178499199819383,0.14,488.972754240036,0.30994457,0.005211684,72000,1.0,0.275,72000.0,0.5852252,0.66103774,0.6,0.85875905,0.36791307,-7.2551947,-6.871449,0.20904331,-0.39176953,-0.51082563,6.1347227,62000.0,-7.2551947,-6.693327,-6.747678,-6.6824236,-6.975386,-7.1054435,-6.693327,-7.255513,0.072,1440.0,-0.53623044
32,0.8928,0.8945,-0.116825715,0.12337894,0.006553224,1.0,0.28,0.3395985724434461,0.28,504.485226392746,0.31017804,0.0052265325,74000,1.0,0.2,74000.0,0.5840232,0.6597278,0.6,0.85862815,0.38345116,-7.421446,-7.050373,0.2025429,-0.38526562,-0.51082563,6.128201,64000.0,-7.421446,-6.878662,-6.9316006,-6.8673306,-7.1608243,-7.2874746,-6.878662,-7.4217067,0.074,1480.0,-0.5383027
33,0.8932,0.889,-0.111924835,0.12386322,0.011938381,1.0,0.28,0.7437884391971259,0.28,520.1673924922943,0.31148022,0.005234667,76000,1.0,0.15,76000.0,0.58516943,0.6609796,0.6,0.85840625,0.4131235,-7.553243,-7.1907167,0.1943374,-0.38363868,-0.51082563,6.119096,66000.0,-7.553243,-7.030306,-7.080874,-7.01775,-7.3104463,-7.433492,-7.030306,-7.5535197,0.076,1520.0,-0.53632224
34,0.8696,0.893,-0.10872768,0.12617724,0.01744956,1.0,0.28,0.6467083659705825,0.24,535.4429371356964,0.31195086,0.0052301623,78000,1.0,0.325,78000.0,0.58490807,0.66068834,0.6,0.8582373,0.4414235,-7.694695,-7.34714,0.19217098,-0.37911913,-0.51082563,6.111744,68000.0,-7.694695,-7.1867666,-7.2369328,-7.1748166,-7.467886,-7.58787,-7.1867666,-7.6949835,0.078,1560.0,-0.5367832
35,0.8752,0.867,-0.108191036,0.12660003,0.018408995,1.0,0.28,0.2563108426514675,0.24,550.9439334869385,0.31137702,0.0052290047,80000,1.0,0.275,80000.0,0.58464783,0.66040564,0.6,0.85860133,0.44150507,-7.848752,-7.499628,0.19288866,-0.3798125,-0.51082563,6.12951,70000.0,-7.848752,-7.352528,-7.4036317,-7.34189,-7.63692,-7.755542,-7.352528,-7.8490553,0.08,1600.0,-0.5372305
36,0.8956,0.879,-0.10522571,0.12889956,0.023673853,1.0,0.28,0.7697094229531924,0.22,566.782342672348,0.31055918,0.0052134073,82000,1.0,0.225,82000.0,0.5839176,0.6596179,0.6,0.85904044,0.46847373,-8.009461,-7.682184,0.19356371,-0.37311327,-0.51082563,6.1465607,72000.0,-8.009461,-7.5197263,-7.5713897,-7.5091395,-7.806358,-7.925564,-7.5197263,-8.009834,0.082,1640.0,-0.5384766
37,0.9,0.8965,-0.09996327,0.13640064,0.036437377,1.0,0.32,0.39845005158865204,0.32,582.1086020469666,0.31014827,0.0052165445,84000,1.0,0.225,84000.0,0.58503467,0.6608217,0.6,0.85820425,0.5085349,-8.106217,-7.807858,0.18486105,-0.36006445,-0.51082563,6.1095977,74000.0,-8.106217,-7.6312995,-7.6789637,-7.617253,-7.9161415,-8.033575,-7.6312995,-8.106504,0.084,1680.0,-0.5365723
