Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
13,0.9888,0.98655,0.07263751,4.3224354,4.395073,1.0,0.14,0.5099063885211944,0.0,2781.922696352005,4.1611004,0.0069799195,360000,1.0,0.0,360000.0,0.6159729,0.69339734,0.5,0.9800627,0.86451757,-30.205038,-30.646332,-0.3403079,-0.17945,-0.69314724,49.82568,260000.0,-30.205038,-30.266157,-28.801407,-28.67525,-29.28345,-29.52663,-30.266157,-30.20549,0.36,720.0,-0.48503828
14,0.98804,0.9846,0.07215518,4.355543,4.427698,1.0,0.14,0.48134124964475633,0.0,2983.8859946727753,4.1536283,0.0069571924,380000,1.0,0.0,380000.0,0.6156339,0.69304675,0.5,0.98010224,1.0223931,-30.930021,-31.40119,-0.3391593,-0.17708321,-0.69314724,49.92085,280000.0,-30.930021,-31.00868,-29.542469,-29.41736,-30.018593,-30.260332,-31.00868,-30.93053,0.38,760.0,-0.48559278
15,0.9868,0.9781,0.06992359,4.1921115,4.2620354,1.0,0.14,0.43617231518030164,0.0,3185.427177667618,4.140773,0.006942781,400000,1.0,0.0,400000.0,0.6156647,0.6930815,0.5,0.9801126,0.94125646,-31.453224,-31.879463,-0.2984579,-0.17961133,-0.69314724,49.95205,300000.0,-31.453224,-31.545488,-30.142797,-30.021748,-30.616869,-30.849007,-31.545488,-31.453712,0.4,800.0,-0.4855379
16,0.98548,0.9773,0.05960345,3.9184177,3.9780211,1.0,0.14,0.42540882974863053,0.0,3387.0599451065063,4.156034,0.006966001,420000,1.0,0.0,420000.0,0.61579406,0.69320774,0.5,0.98009026,1.0211109,-31.315638,-31.698956,-0.24541663,-0.1812209,-0.69314724,49.904007,320000.0,-31.315638,-31.404163,-30.12405,-30.010288,-30.594591,-30.808859,-31.404163,-31.316143,0.42,840.0,-0.48533827
17,0.98692,0.98335,0.05910472,3.88903,3.9481347,1.0,0.14,0.5870690613985061,0.0,3590.2909364700317,4.186605,0.007022575,440000,1.0,0.0,440000.0,0.6158042,0.69322324,0.5,0.9800794,1.6657476,-30.946146,-31.3639,-0.2458807,-0.17517285,-0.69314724,49.86227,340000.0,-30.946146,-31.030619,-29.74561,-29.633516,-30.208103,-30.419727,-31.030619,-30.946606,0.44,880.0,-0.48531368
18,0.9882,0.98465,0.060249146,3.8529632,3.913212,1.0,0.14,0.44276837080717085,0.0,3793.949882745743,4.195142,0.0070431335,460000,1.0,0.0,460000.0,0.6159172,0.693341,0.5,0.9800863,0.9241287,-30.768538,-31.164454,-0.2355006,-0.17688458,-0.69314724,49.879505,360000.0,-30.768538,-30.851109,-29.564571,-29.452969,-30.025326,-30.23649,-30.851109,-30.768963,0.46,920.0,-0.48512733
19,0.9882,0.98505,0.05501456,3.6935148,3.7485297,1.0,0.14,0.5154923355579376,0.0,3995.415474176407,4.153907,0.006964464,480000,1.0,0.0,480000.0,0.6155945,0.6930125,0.5,0.98012245,0.94149375,-30.435963,-30.813828,-0.21247968,-0.17777637,-0.69314724,49.961872,380000.0,-30.435963,-30.510607,-29.267368,-29.158384,-29.727013,-29.931456,-30.510607,-30.436438,0.48,960.0,-0.48564708
20,0.98872,0.9859,0.05601308,3.7149992,3.7710125,1.0,0.14,0.5105129730701446,0.0,4197.367896795273,4.159955,0.0069753737,500000,1.0,0.0,500000.0,0.6157522,0.69316894,0.5,0.9801008,0.91192305,-30.190603,-30.60192,-0.22645779,-0.1729418,-0.69314724,49.919758,400000.0,-30.190603,-30.26327,-28.993963,-28.884462,-29.45076,-29.656475,-30.26327,-30.191025,0.5,1000.0,-0.4853996
21,0.98672,0.98575,0.060538948,3.7950191,3.855558,1.0,0.14,0.38980175748467444,0.0,4398.3624312877655,4.1407623,0.0069419886,520000,1.0,0.0,520000.0,0.61573917,0.69315517,0.5,0.980105,0.90957266,-30.221226,-30.634916,-0.23481631,-0.17403261,-0.69314724,49.924973,420000.0,-30.221226,-30.292406,-28.982994,-28.872593,-29.437344,-29.646152,-30.292406,-30.221825,0.52,1040.0,-0.4854213
22,0.98684,0.9865,0.057420924,3.7563696,3.8137906,1.0,0.14,0.36745420545339585,0.0,4599.47954249382,4.145283,0.0069509917,540000,1.0,0.0,540000.0,0.6156285,0.6930456,0.5,0.98011017,3.9323492,-30.209377,-30.621607,-0.21854019,-0.17235117,-0.69314724,49.944183,440000.0,-30.209377,-30.280294,-28.99979,-28.891441,-29.448719,-29.65469,-30.280294,-30.209827,0.54,1080.0,-0.48559472
