Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
14,0.0,0.04415,0.061368372,3.0510008,3.112369,0.0,0.0,0.21421975,0.0,2426.670599460602,3.2290025,0.005139362,380000,0.05,0.0,380000.0,0.6156184,0.6930346,0.5,0.9801016,1.4072332,-27.247581,-27.533562,-0.2170272,-0.13380645,-0.69314724,49.916683,280000.0,-27.247581,-27.294882,-26.219074,-26.125978,-26.6287,-26.793762,-27.294882,-27.247984,0.38,760.0,-0.48561212
15,0.0,0.06305,0.06410304,2.8622324,2.9263353,0.0,0.0,0.21421836,0.0,2589.7129440307617,3.2150502,0.005118917,400000,0.075,0.0,400000.0,0.6157123,0.69312483,0.5,0.980083,0.9917795,-26.842297,-27.11631,-0.2208905,-0.13401738,-0.69314724,49.88442,300000.0,-26.842297,-26.881754,-25.802244,-25.709171,-26.212164,-26.378633,-26.881754,-26.842619,0.4,800.0,-0.48546934
16,0.0,0.14,0.06628717,2.8299372,2.8962245,0.0,0.0,0.21421622,0.0,2752.6656534671783,3.2239704,0.0051293774,420000,0.2,0.0,420000.0,0.6156758,0.6930961,0.5,0.98010373,0.994296,-26.750912,-27.019838,-0.22091995,-0.13343965,-0.69314724,49.930923,320000.0,-26.750912,-26.788307,-25.705343,-25.612799,-26.112768,-26.279268,-26.788307,-26.7513,0.42,840.0,-0.48551485
17,0.0,0.0736,0.06756148,2.794882,2.8624434,0.0,0.0,0.21420465,0.0,2915.121305704117,3.2106838,0.005110913,440000,0.125,0.0,440000.0,0.6156657,0.6930832,0.5,0.98010695,0.9815094,-26.81533,-27.105444,-0.2326259,-0.13253027,-0.69314724,49.931187,340000.0,-26.81533,-26.851366,-25.742287,-25.64892,-26.147144,-26.317379,-26.851366,-26.815725,0.44,880.0,-0.48553514
18,0.0,0.06265,0.07117671,2.9283886,2.9995651,0.0,0.0,0.21421815,0.0,3076.5934450626373,3.1865153,0.005068568,460000,0.075,0.0,460000.0,0.6157751,0.69319797,0.5,0.98009783,6.067344,-27.115719,-27.45955,-0.26409656,-0.13072167,-0.69314724,49.904842,360000.0,-27.115719,-27.155746,-25.962225,-25.864265,-26.36704,-26.550396,-27.155746,-27.11611,0.46,920.0,-0.4853537
19,0.0,0.031,0.0768054,3.2087333,3.2855387,0.0,0.0,0.21421953,0.0,3239.640476703644,3.2018037,0.0050905324,480000,0.075,0.0,480000.0,0.6157923,0.6932139,0.5,0.9801016,1.4455817,-27.79383,-28.19431,-0.30018595,-0.13252656,-0.69314724,49.915462,380000.0,-27.79383,-27.848646,-26.552567,-26.448454,-26.96012,-27.16065,-27.848646,-27.794113,0.48,960.0,-0.48532853
20,0.0,0.11155,0.09027753,3.6397593,3.7300372,0.0,0.0,0.21420163,0.0,3403.4110674858093,3.2084923,0.005100551,500000,0.125,0.0,500000.0,0.61552,0.69293505,0.5,0.9800874,2.7748282,-28.874266,-29.319118,-0.35340026,-0.13681191,-0.69314724,49.888294,400000.0,-28.874266,-28.952782,-27.521317,-27.408007,-27.940928,-28.16493,-28.952782,-28.874475,0.5,1000.0,-0.48576954
21,0.0,0.1031,0.10130306,4.1486654,4.2499685,0.0,0.0,0.21421677,0.0,3566.3996529579163,3.2130103,0.005108462,520000,0.125,0.0,520000.0,0.61588347,0.6933049,0.5,0.9800678,49.646282,-30.03955,-30.56336,-0.41396508,-0.14539003,-0.69314724,49.835686,420000.0,-30.03955,-30.142557,-28.552063,-28.427359,-28.98344,-29.236202,-30.142557,-30.03964,0.52,1040.0,-0.48518458
22,0.0,0.1141,0.12357843,4.7531333,4.8767114,0.0,0.0,0.21422143,0.0,3731.250180006027,3.2133813,0.005111507,540000,0.125,0.0,540000.0,0.61569303,0.69311064,0.5,0.9800929,7.4845133,-31.650225,-32.20738,-0.48234287,-0.15946133,-0.69314724,49.897392,440000.0,-31.650225,-31.786875,-29.990913,-29.850725,-30.436459,-30.726234,-31.786875,-31.65023,0.54,1080.0,-0.48549178
23,0.0,0.04465,0.12194417,4.9706016,5.0925455,0.0,0.0,0.21423097,0.0,3893.3114857673645,3.2113922,0.0051064086,560000,0.05,0.0,560000.0,0.61566514,0.6930832,0.5,0.9800932,5.5396852,-32.626205,-33.14694,-0.45115316,-0.17938203,-0.69314724,49.897774,460000.0,-32.626205,-32.77964,-31.016546,-30.8711,-31.475172,-31.779943,-32.77964,-32.62636,0.56,1120.0,-0.48553514
